idx_archive,idx_evaluation,idx_generation_birth,idx_generation
950,934,9,9
951,578,5,9
952,193,1,9
953,830,8,9
954,290,2,9
955,610,6,9
956,391,3,9
957,642,6,9
958,689,6,9
959,933,9,9
960,540,5,9
961,474,4,9
962,868,8,9
963,206,2,9
964,435,4,9
965,872,8,9
966,835,8,9
967,368,3,9
968,188,1,9
969,623,6,9
970,982,9,9
971,407,4,9
972,355,3,9
973,611,6,9
974,862,8,9
975,968,9,9
976,330,3,9
977,356,3,9
978,667,6,9
979,731,7,9
980,897,8,9
981,85,0,9
982,585,5,9
983,647,6,9
984,841,8,9
985,753,7,9
986,562,5,9
987,601,6,9
988,315,3,9
989,990,9,9
990,851,8,9
991,939,9,9
992,870,8,9
993,994,9,9
994,694,6,9
995,33,0,9
996,504,5,9
997,93,0,9
998,921,9,9
999,917,9,9
1000,215,2,10
1001,155,1,10
1002,404,4,10
1003,979,9,10
1004,495,4,10
1005,1018,10,10
1006,987,9,10
1007,1056,10,10
1008,803,8,10
1009,734,7,10
1010,659,6,10
1011,229,2,10
1012,984,9,10
1013,1084,10,10
1014,945,9,10
1015,484,4,10
1016,953,9,10
1017,400,4,10
1018,861,8,10
1019,1098,10,10
1020,616,6,10
1021,45,0,10
1022,284,2,10
1023,754,7,10
1024,886,8,10
1025,986,9,10
1026,542,5,10
1027,894,8,10
1028,506,5,10
1029,855,8,10
1030,552,5,10
1031,590,5,10
1032,651,6,10
1033,521,5,10
1034,1060,10,10
1035,1038,10,10
1036,980,9,10
1037,850,8,10
1038,992,9,10
1039,459,4,10
1040,646,6,10
1041,28,0,10
1042,767,7,10
1043,725,7,10
1044,808,8,10
1045,411,4,10
1046,847,8,10
1047,222,2,10
1048,331,3,10
1049,448,4,10
1050,724,7,10
1051,934,9,10
1052,578,5,10
1053,193,1,10
1054,610,6,10
1055,517,5,10
1056,540,5,10
1057,642,6,10
1058,1080,10,10
1059,1088,10,10
1060,1040,10,10
1061,846,8,10
1062,391,3,10
1063,206,2,10
1064,435,4,10
1065,589,5,10
1066,933,9,10
1067,872,8,10
1068,835,8,10
1069,864,8,10
1070,830,8,10
1071,368,3,10
1072,1027,10,10
1073,290,2,10
1074,982,9,10
1075,963,9,10
1076,611,6,10
1077,1008,10,10
1078,355,3,10
1079,862,8,10
1080,968,9,10
1081,1073,10,10
1082,356,3,10
1083,667,6,10
1084,731,7,10
1085,85,0,10
1086,897,8,10
1087,1059,10,10
1088,474,4,10
1089,841,8,10
1090,753,7,10
1091,562,5,10
1092,921,9,10
1093,330,3,10
1094,990,9,10
1095,851,8,10
1096,868,8,10
1097,939,9,10
1098,315,3,10
1099,504,5,10
1100,1130,11,11
1101,1184,11,11
1102,404,4,11
1103,979,9,11
1104,1018,10,11
1105,987,9,11
1106,1056,10,11
1107,495,4,11
1108,803,8,11
1109,734,7,11
1110,659,6,11
1111,984,9,11
1112,1084,10,11
1113,155,1,11
1114,229,2,11
1115,1161,11,11
1116,215,2,11
1117,484,4,11
1118,400,4,11
1119,953,9,11
1120,1098,10,11
1121,861,8,11
1122,1178,11,11
1123,45,0,11
1124,616,6,11
1125,754,7,11
1126,886,8,11
1127,284,2,11
1128,986,9,11
1129,542,5,11
1130,894,8,11
1131,506,5,11
1132,945,9,11
1133,855,8,11
1134,590,5,11
1135,651,6,11
1136,1060,10,11
1137,1101,11,11
1138,980,9,11
1139,1111,11,11
1140,521,5,11
1141,646,6,11
1142,459,4,11
1143,1189,11,11
1144,222,2,11
1145,850,8,11
1146,767,7,11
1147,411,4,11
1148,992,9,11
1149,331,3,11
1150,724,7,11
1151,448,4,11
1152,934,9,11
1153,552,5,11
1154,578,5,11
1155,610,6,11
1156,28,0,11
1157,517,5,11
1158,1167,11,11
1159,1155,11,11
1160,1124,11,11
1161,391,3,11
1162,642,6,11
1163,1040,10,11
1164,1123,11,11
1165,540,5,11
1166,589,5,11
1167,1027,10,11
1168,725,7,11
1169,846,8,11
1170,830,8,11
1171,611,6,11
1172,808,8,11
1173,963,9,11
1174,847,8,11
