idx_run,connect_to_0,connect_to_1,connect_to_2,connect_to_3,connect_to_4,connect_to_5,connect_to_6,connect_to_7,connect_to_8,connect_to_9,connect_to_10,connect_to_11,connect_to_12,connect_to_13,connect_to_14,connect_to_15,connect_to_16,connect_to_17,connect_to_18,connect_to_19,connect_to_20,connect_to_21,connect_to_22,connect_to_23,connect_to_24,connect_to_25,connect_to_26,connect_to_27,connect_to_28,connect_to_29,connect_to_30,connect_to_31,connect_to_32
86,-1,-2,-2,-2,-2,0,8,-2,-1,-2,-2,-2,-1,-2,-2,12,-1,-1,16,15,-1,-2,-2,-1,-2,-2,-2,-2,-1,-1,-2,-2,-2
87,-2,-2,3,-1,8,-1,-2,-2,-1,-1,-1,-2,-2,-2,-2,-2,-1,-2,16,-2,-2,-2,-2,-2,-1,-2,29,-1,-2,-1,-2,-1,-2
88,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,15,-2,-1,19,-2,-2,-1,-1,-2,-1,-2,-2,-1,-2,-1,-2,-1,-1,-2,-2,-1
89,6,-2,-1,-2,6,-2,-1,-1,-2,-2,-2,-1,15,-1,-2,19,-1,-1,13,-1,-2,-2,-2,-2,-2,-1,-1,-2,-1,28,-2,-2,-2
90,-2,-1,3,-1,-1,-2,-1,-2,-2,-2,-2,-1,-2,-2,-2,-2,-1,-2,16,21,-1,-1,-2,-2,-2,-1,-2,-2,-2,-2,-2,-1,-2
91,5,-2,-2,-2,7,-1,4,-1,-2,-2,-1,-2,-1,-2,-2,-1,-1,15,-1,-1,-1,-1,-2,-2,-1,-1,-2,-2,-2,-2,-2,-1,-2
92,-1,-1,-1,-2,7,-1,-2,-1,-1,-2,-2,-2,-2,-1,-2,-2,-2,-1,13,-2,-1,-1,-2,-2,-2,-2,-2,-1,-2,-2,-1,-2,-1
93,5,-1,-1,-2,-2,-1,-2,-1,7,-2,-2,-1,-1,-2,-2,12,-1,-2,-2,-2,-1,-2,-2,-2,-2,-1,-2,-2,-2,-1,-2,-2,-1
94,8,-2,-2,6,-1,-2,4,-2,-1,-1,-1,-2,-2,-2,-1,-2,-2,-1,-2,-2,-1,-2,-2,-1,-2,-2,29,-1,-1,-1,-1,-2,-1
95,-2,5,-1,-2,-2,-1,-1,-1,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,28,-1,-1,-2,-2,-2,-2
96,8,5,-1,-2,-2,-1,-1,-2,-1,-2,-1,-2,15,-2,-2,-1,-2,-2,-1,15,-2,-1,-1,-2,22,-2,-2,-1,-2,-2,-1,-1,-2
97,-1,-2,-1,-1,3,0,-1,-1,-2,-2,-2,-1,-2,-2,-2,-2,-1,20,16,-2,-1,-1,-2,-1,-1,27,24,-1,-2,-2,-2,-2,-2
98,-1,0,-2,-2,-2,0,-1,-1,-2,-2,-2,-2,-2,-1,-2,19,-2,20,-2,-1,-1,-2,-2,-2,-1,-2,-1,-2,-1,-1,-1,-1,-1
99,-2,-1,-1,-1,6,-2,8,-2,10,-2,-1,-2,-1,-2,-2,-1,-2,-1,-1,18,-1,-2,-1,-1,22,-1,29,-2,29,-1,-1,-2,-2
100,-1,-2,-2,-2,-1,-1,-2,-1,7,-1,-2,-2,-1,-2,-2,-2,-2,22,-1,18,-2,-2,-1,-2,-1,-1,29,-1,-2,-1,-1,-2,-2
101,-1,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,15,-1,-2,22,-2,15,15,-2,-2,-2,-1,-1,22,-2,-2,-2,-1,28,-2,-1,-2
102,-1,-1,-1,-2,-1,-2,-1,-2,6,-2,-1,-2,-1,-2,-2,19,-1,-2,15,-1,-2,19,-2,-2,-1,-1,-1,-2,-2,-2,-1,-1,-2
103,5,-1,-2,-1,-1,-1,-2,-2,4,-2,-2,-2,-1,-2,-2,12,-2,15,-2,15,-2,-2,-2,-2,-1,27,-1,-1,-2,-2,-2,-2,-2
104,-2,-2,-1,-2,-1,-1,-2,-2,-2,-2,-1,-2,15,-2,-2,-1,-2,-2,-1,15,-2,19,-2,-2,-1,-2,24,-2,-2,-1,-2,-1,-2
105,-1,-2,-2,-2,-2,-1,-2,-2,-2,-2,-2,-2,15,-2,-2,-1,-1,15,-2,-2,-2,-2,-1,-1,22,-2,-2,-2,-1,28,-2,-2,-2
106,-2,-2,-1,-2,-2,-2,-2,-2,-2,-1,-2,-2,-2,-1,-2,22,-1,20,15,15,-1,-2,-1,-1,-1,-1,-1,-2,-2,-2,-2,-2,-2
107,-1,-2,-2,-2,-2,-1,-1,-2,6,-2,-1,-2,-2,-2,-2,-2,-2,-2,-1,-2,-1,-2,-2,-1,-2,-2,-2,-2,-2,-2,-2,-1,-1
108,-1,0,-2,-2,-2,-1,-1,-2,-2,-2,-2,-2,-2,-1,-2,19,-2,20,-2,-1,-1,-1,-2,-2,-1,-2,-2,-2,-2,-1,-1,-1,-1
109,6,5,-1,-2,6,-1,-1,-1,-2,-2,-2,-2,15,-2,-2,-1,-1,-2,-1,-1,-2,-2,-2,-1,-1,-2,-1,-2,-1,-1,-2,-2,-2
110,-1,0,-2,-2,-1,-1,4,-1,-2,-1,-2,-1,-1,-2,-2,19,-1,-2,-2,-1,-2,-2,-2,-1,-2,-2,-1,-1,-2,-1,-2,-1,-2
111,8,-1,-1,-2,8,-2,8,-2,-1,-2,-1,-2,-2,-2,-1,-2,-1,14,-1,-1,-2,-1,-2,-2,-2,-1,-1,-2,-2,-2,-1,-2,-2
112,6,0,-1,-1,-2,-2,-1,-2,6,-2,-2,-1,-2,-2,-1,-2,-2,22,22,-2,17,-2,-1,-2,-1,27,-2,-1,-1,-1,-2,-2,-2
113,-1,-2,-2,-2,-2,-1,-2,-2,-1,-1,-2,-1,-2,-2,-1,-2,11,-2,-1,18,-2,-2,-1,-2,-1,-1,-1,-2,-1,-1,-2,-1,-1
114,8,5,-1,-2,-2,-1,-1,-2,-1,-2,-1,-1,15,-2,-2,-1,-2,-2,-1,15,-2,-1,-1,-2,22,-2,-2,-1,-2,-2,-1,-1,-2
115,-2,-2,-1,-2,8,-1,4,-1,-1,-2,-1,-2,-2,-1,-2,19,-2,-2,-2,-1,-2,19,-2,-2,-1,-2,-2,-1,-1,-1,-1,-1,-2
116,-1,-2,-2,-2,-1,-1,-2,-1,7,-1,-2,-1,-1,-1,-2,-2,-1,-2,-2,-1,-2,-2,-2,-1,-2,-2,-1,-1,-2,-1,-2,-1,-2
117,-1,0,-1,-2,-2,-2,-2,-2,-2,-2,-2,-2,15,-2,-2,-1,-1,15,-1,18,17,19,-2,-2,-2,-2,-2,-1,-1,28,-1,-1,-2
118,-2,-2,-2,-2,-1,-1,4,-2,4,-1,-2,-1,-1,-2,-1,19,-2,-1,-1,-1,17,19,-2,-2,-2,-1,-1,-1,-2,-2,-2,-2,-2
119,-1,-2,-2,-2,-2,-2,-2,-2,-2,-1,-2,-2,15,-2,-2,19,-2,-2,-1,-1,-2,-1,-2,-1,-1,-2,-2,-2,-1,-1,-2,-2,-1
