radius,population__town_0,population__town_1,population__town_2,population__town_3
874.3718592964825,39.94573,0.0,1572.2523299999984,0.0
879.3969849246232,67.56927999999999,0.0,1572.2523299999984,0.0
884.4221105527639,71.23008,0.0,1613.4815399999986,0.0
889.4472361809046,90.75283,0.0,1635.9042799999988,0.0
894.4723618090453,107.75380999999999,0.0,1653.3381399999987,0.0
899.497487437186,107.75380999999999,0.0,1698.2232799999986,0.0
904.5226130653267,120.07101,0.0,1738.3716699999989,0.0
909.5477386934674,120.07101,0.0,1753.0828799999983,0.0
914.5728643216081,120.07101,0.0,1795.1721799999987,0.0
919.5979899497488,137.76151,0.0,1818.7725299999988,0.0
924.6231155778895,137.76151,0.0,1849.5043199999986,0.0
929.6482412060302,137.76151,0.0,1857.6407699999986,0.0
934.6733668341709,166.75001,0.0,1894.4677799999986,0.0
939.6984924623116,186.172,0.0,1944.4453599999986,0.0
944.7236180904523,194.39503999999997,0.0,1978.1463099999987,0.0
949.748743718593,208.22716999999997,0.0,1985.1573999999987,0.0
954.7738693467337,243.29052,0.0,2034.2175799999986,0.0
959.7989949748744,243.29052,0.0,2077.074639999999,0.0
964.8241206030152,257.70162,0.0,2097.196619999999,0.0
969.8492462311559,257.70162,0.0,2104.0017499999985,0.0
974.8743718592966,257.70162,0.0,2134.673409999999,0.0
979.8994974874373,257.70162,0.0,2176.6608299999994,0.0
984.924623115578,257.70162,0.0,2183.1852499999995,0.0
989.9497487437187,257.70162,0.0,2187.7581799999994,0.0
994.9748743718594,278.8784599999999,0.0,2209.901169999999,0.0
1000.0,278.8784599999999,0.0,2235.89038,0.0
