Total population supplied (inhab),Benefit wastewater (Total with PV summed),Total benefit reclaimed wastewater (total PV),Total benefit freshwater management (total PV),Total benefits of energy savings (total PV),Total benefits of environmental savings (total PV),Total benefits  (ILS),Total costs with wastewater (ILS PV),Total costs with reclaimed ww management (ILS),Total costs with costs freshwater in the buffer (ILS),Total costs (ILS),Costs - benefits (ILS),Coverage (region),Coverage (town),Benefits/costs,Onsite construction costs ,Onsite OeM costs (year) ,Onsite OeM costs (total) ,Benefits onsite treatment (connection fee) ,Benefits onsite treatment (sanitation fee) ,Population supplied with onsite treatment (inhabitants),Total wastewater pumping costs (ILS PV),Total land purchase costs at each WWPS (ILS) ,Centralization degree Eggiman,Centralization degree Huang,Number activated,Number WWTP,Number WWPS,idx_evaluation
48999.15191,26034578.86299412,44572440.421463735,1699499.7788116562,34780732.077340536,28586769.798144527,158526792.5446172,107745364.99661857,14731352.825317612,6401784.695145591,185497420.26676077,26970627.72214356,0.5770376483542365,0.5770376483542365,0.85460375846005,12309867.288911289,4344659.043145161,43790826.284207515,8978962.022499999,13873809.583362624,35915.84809,518224.1765601905,0.0,0.9981864000594445,0.20088090688410276,16,12,4,39
57274.752949999995,30931987.54820256,53673196.99968909,395713.8876402069,42562303.96025761,34423588.03898281,179573908.2825933,150210393.16790754,17887283.384075277,1430292.9146424793,213306062.95179656,33732154.66920325,0.6744951180592357,0.6744951180592357,0.8418603100052241,9473471.771169357,3343578.27217742,33700700.98264328,6910061.762500001,10677056.085321043,27640.247050000005,603920.731358624,0.0,0.998244711308071,0.18041275007275803,19,14,5,40
57076.84446000001,29954022.24925974,50749622.74238682,1423480.8690257242,41152247.71926732,32548538.266275376,173540956.20729828,138595012.50483164,15631923.939330103,5402193.992909702,205115851.49436378,31574895.287065506,0.6721644522169229,0.6721644522169229,0.846063114785972,9541303.310080642,3367518.81532258,33942003.27025854,6959538.884999998,10753505.47608331,27838.155539999992,2003414.4769531507,0.0,0.9984368280591562,0.40917961025011734,17,12,5,41
22700.873460000006,11925205.783727549,20221314.76971276,39838.02598007716,15528403.400334477,12969046.901439894,100269821.74421042,60040561.10262324,5752827.944728525,127258.23477889488,163099353.46759215,62829531.72338173,0.2673364359653772,0.2673364359653772,0.6147775549835889,21323390.144758064,7525902.404032258,75855316.04070343,15553531.635,24032481.22801566,62214.12654,0.0,0.0,0.9969322927926434,0.46897996943177495,9,9,0,42
28418.48579,15298318.160450846,26475999.811944168,488802.6881246811,21125605.513096962,16980522.14873342,116317221.27660652,84584740.46373084,10377421.270279389,1861657.2798792345,185646370.1330828,69329148.85647629,0.33466979673791436,0.33466979673791436,0.626552629029176,19363724.62842742,6834255.751209678,68884048.99235032,14124128.5525,21823844.40175643,56496.51421,574777.4984155844,0.0,0.9973076670773949,0.25081465878353737,13,11,2,43
31501.019189999985,17786211.35522069,31952078.37417294,1316375.630618286,25000515.831253354,20492634.02267975,130534413.57999405,100293073.36298087,13577324.926574405,4960812.033281955,202551608.097732,72017194.51773795,0.37097119696166736,0.37097119696166736,0.6444501468337425,18307211.16471775,6461368.64637097,65125633.367682084,13353495.202500002,20633103.16354904,53413.980810000015,287553.24249494495,0.0,0.9983212641743133,0.5029392580144452,12,8,4,44
39937.709080000015,20964523.41469405,35526617.703770645,1727251.1007280832,25289421.62082593,22785183.678552233,134911443.45557174,123526520.56681722,12762740.18003502,6530231.799776879,213442862.2323117,78531418.77673995,0.4703257266678445,0.4703257266678445,0.632072874419824,15415603.74274193,5440801.320967739,54839098.563855834,11244322.729999997,17374123.20700081,44977.290919999985,368667.3790848061,0.0,0.9978988312250543,0.3872948177009786,16,12,4,45
59022.84602,31186995.56024775,53145373.87557693,210727.12412494427,43764500.75356222,34085065.893898174,178867492.9206339,106778611.31462789,11921047.207668032,800757.1852660984,161192545.65341958,-17674947.267214328,0.6950815052699758,0.6950815052699758,1.1096511454395495,8874326.968951613,3132115.4008064517,31569317.651107494,6473038.495,10001791.218223877,25892.153980000003,1248485.3257984912,0.0,0.9987396217033748,0.4350118657725833,11,10,1,46
66860.06158000001,35874826.840657845,61920742.835424215,1591128.453350569,48252431.153852515,39713195.06916622,198840439.09879518,176955513.1186736,20251845.233725622,6003214.534283111,231910705.42347157,33070266.324676394,0.7873763361008068,0.7873763361008068,0.8574008635595769,6188184.5391129,2184065.131451612,22013699.07626992,4513734.604999998,6974380.141343837,18054.93841999999,498248.9214064311,0.0,0.998807371720828,0.21874318755392502,17,12,5,47
31648.13196999998,17867776.625340328,32096588.782173395,1390752.8476817925,24963757.6735868,20585316.53518933,130797184.94458485,100835759.15711768,14696030.613930693,5234305.0285071265,204889627.49077222,74092442.54618737,0.3727036680209619,0.3727036680209619,0.6383787532166589,18256789.445766132,6443572.745564518,64946264.35551163,13316717.007500004,20576275.4731132,53266.86803000002,920478.8899389878,0.0,0.9977480597405706,0.22630787007300934,17,11,6,48
